지점,지점명,일시,기온,풍속,습도,해면기압
232,천안,2021-01-28 15:00,0.1,5,46,1016.8
232,천안,2021-01-28 16:00,-1,5.6,41,1017.9
232,천안,2021-01-28 17:00,-1.6,4.3,44,1018.3
232,천안,2021-01-28 18:00,-3.1,5.5,57,1019.2
232,천안,2021-01-28 19:00,-3.7,5.2,53,1020.6
232,천안,2021-01-28 20:00,-4.6,4.4,62,1021
232,천안,2021-01-28 21:00,-5.5,5.4,64,1022.1
232,천안,2021-01-28 22:00,-6.1,5.4,49,1022.8
232,천안,2021-01-28 23:00,-6.8,4.5,49,1023.3
232,천안,2021-01-29 0:00,-7.3,3.6,51,1024.6
232,천안,2021-01-29 1:00,-7.8,2.7,51,1025.5
232,천안,2021-01-29 2:00,-8.4,2.9,52,1026.2
232,천안,2021-01-29 3:00,-9,1.8,57,1026.7
232,천안,2021-01-29 4:00,-9.4,2.4,60,1026.8
232,천안,2021-01-29 5:00,-9.8,1.1,58,1026.9
232,천안,2021-01-29 6:00,-9.5,1.8,53,1027.3
232,천안,2021-01-29 7:00,-9.4,1.5,50,1027.8
232,천안,2021-01-29 8:00,-9.4,1,48,1028.4
232,천안,2021-01-29 9:00,-8.4,2.3,42,1029
232,천안,2021-01-29 10:00,-7.8,2.9,40,1029.1
232,천안,2021-01-29 11:00,-7,3.4,40,1028.9
232,천안,2021-01-29 12:00,-5.5,2.8,44,1028.1
232,천안,2021-01-29 13:00,-5.2,3.5,43,1027.9
232,천안,2021-01-29 14:00,-4.5,3.9,42,1027.6
232,천안,2021-01-29 15:00,-4,3.3,44,1027.8
232,천안,2021-01-29 16:00,-3.9,2.2,44,1027.8
232,천안,2021-01-29 17:00,-4.6,2,43,1027.8
232,천안,2021-01-29 18:00,-5.6,1.4,46,1028
232,천안,2021-01-29 19:00,-6.8,0.6,52,1028.1
232,천안,2021-01-29 20:00,-7.7,1.4,59,1028.2
232,천안,2021-01-29 21:00,-8.8,1.7,64,1028.4
232,천안,2021-01-29 22:00,-9.6,0.5,71,1029.1
232,천안,2021-01-29 23:00,-10.5,1.2,75,1029.4
232,천안,2021-01-30 0:00,-11,0.4,78,1029.3
232,천안,2021-01-30 1:00,-11.4,0.3,80,1028.7
232,천안,2021-01-30 2:00,-11.5,0.4,86,1028.9
232,천안,2021-01-30 3:00,-9.8,1.7,76,1028.3
232,천안,2021-01-30 4:00,-8.3,1.4,69,1027.5
232,천안,2021-01-30 5:00,-7,1.8,65,1026.8
232,천안,2021-01-30 6:00,-6.5,1.3,66,1026.6
232,천안,2021-01-30 7:00,-6.1,1.9,69,1026.4
232,천안,2021-01-30 8:00,-5.8,1.9,71,1026.4
232,천안,2021-01-30 9:00,-4.8,2.5,70,1026.3
232,천안,2021-01-30 10:00,-2.4,1.9,69,1026.2
232,천안,2021-01-30 11:00,0.5,1.4,69,1025.9
232,천안,2021-01-30 12:00,4.2,0.9,68,1025.1
232,천안,2021-01-30 13:00,4.4,2.6,69,1024.8
232,천안,2021-01-30 14:00,5.8,2,67,1024.6
232,천안,2021-01-30 15:00,7.1,3.1,56,1025.1
232,천안,2021-01-30 16:00,7,2.8,50,1025.8
232,천안,2021-01-30 17:00,6.3,2.2,39,1026.8
232,천안,2021-01-30 18:00,4.6,1.5,38,1027.3
232,천안,2021-01-30 19:00,3,0.4,49,1027.9
232,천안,2021-01-30 20:00,0.2,0,64,1028.5
232,천안,2021-01-30 21:00,-1.5,0.6,75,1029.1
232,천안,2021-01-30 22:00,-2.4,1,85,1029.7
232,천안,2021-01-30 23:00,-2.5,0.1,85,1030.2
232,천안,2021-01-31 0:00,-3.5,0.4,91,1030.5
232,천안,2021-01-31 1:00,-4.1,0,94,1030.8
232,천안,2021-01-31 2:00,-4.3,0.5,95,1031.1
232,천안,2021-01-31 3:00,-5,0.2,94,1031.5
232,천안,2021-01-31 4:00,-5.5,0.7,94,1031.3
232,천안,2021-01-31 5:00,-6.2,0.6,95,1031.3
232,천안,2021-01-31 6:00,-6.3,0.6,96,1031.3
232,천안,2021-01-31 7:00,-6.8,0.1,96,1031.5
232,천안,2021-01-31 8:00,-6.5,0.8,95,1031.7
232,천안,2021-01-31 9:00,-4.4,0.8,89,1031.4
232,천안,2021-01-31 10:00,-0.7,1.2,70,1031.1
232,천안,2021-01-31 11:00,3.3,1.5,51,1030.6
232,천안,2021-01-31 12:00,5.4,2.1,37,1029.6
232,천안,2021-01-31 13:00,7.6,1.6,36,1028
232,천안,2021-01-31 14:00,9.3,1.5,46,1026.5
232,천안,2021-01-31 15:00,10,2.6,47,1026
232,천안,2021-01-31 16:00,9.9,0.6,48,1025.3
232,천안,2021-01-31 17:00,9.8,1.3,50,1025
232,천안,2021-01-31 18:00,7.6,0.6,59,1025.1
232,천안,2021-01-31 19:00,4.3,1.2,73,1025
232,천안,2021-01-31 20:00,2.4,0.3,84,1025
232,천안,2021-01-31 21:00,1.6,1.2,87,1024.4
232,천안,2021-01-31 22:00,0.9,0.7,88,1023.9
232,천안,2021-01-31 23:00,0.8,0.7,89,1023.5
232,천안,2021-02-01 0:00,1.4,1.7,85,1022.9
232,천안,2021-02-01 1:00,1.8,0.9,86,1022.2
232,천안,2021-02-01 2:00,1.8,0.8,89,1021
232,천안,2021-02-01 3:00,2.2,0.5,97,1020
232,천안,2021-02-01 4:00,2.8,0.9,100,1019
232,천안,2021-02-01 5:00,2.1,0.5,100,1018.5
232,천안,2021-02-01 6:00,2.7,0,100,1017.8
232,천안,2021-02-01 7:00,3,0,100,1017.7
232,천안,2021-02-01 8:00,3.6,0,100,1017.5
232,천안,2021-02-01 9:00,4,0.4,100,1017.8
232,천안,2021-02-01 10:00,5,0.9,100,1017.6
232,천안,2021-02-01 11:00,7.3,0.1,100,1017.2
232,천안,2021-02-01 12:00,9.5,0.4,94,1016.3
232,천안,2021-02-01 13:00,10.6,1.5,77,1014.8
232,천안,2021-02-01 14:00,11.2,3.3,70,1014
232,천안,2021-02-01 15:00,11.3,2.8,67,1013.7
232,천안,2021-02-01 16:00,11,2.2,70,1013.8
232,천안,2021-02-01 17:00,9.2,3.3,71,1015
232,천안,2021-02-01 18:00,8.2,1.8,77,1015.4
232,천안,2021-02-01 19:00,6.7,1.7,91,1016.9
232,천안,2021-02-01 20:00,4.9,1.9,85,1018
232,천안,2021-02-01 21:00,4.7,2.1,84,1018.9
232,천안,2021-02-01 22:00,3.1,2,72,1020.4
232,천안,2021-02-01 23:00,2,3.4,75,1021.5
232,천안,2021-02-02 0:00,1,3.6,56,1022.4
232,천안,2021-02-02 1:00,-1.1,3.3,58,1023.6
232,천안,2021-02-02 2:00,-2.1,2.7,50,1024.5
232,천안,2021-02-02 3:00,-2.4,2.2,46,1025
232,천안,2021-02-02 4:00,-2.6,2.9,45,1025.3
232,천안,2021-02-02 5:00,-3.4,2.1,55,1025.7
232,천안,2021-02-02 6:00,-4.7,3.6,53,1026.6
232,천안,2021-02-02 7:00,-5.4,2.7,40,1027.2
232,천안,2021-02-02 8:00,-5.9,1.6,40,1027.9
232,천안,2021-02-02 9:00,-4.9,2.5,38,1028.4
232,천안,2021-02-02 10:00,-4.2,3.4,32,1028.4
232,천안,2021-02-02 11:00,-3.3,3.6,32,1028.7
232,천안,2021-02-02 12:00,-3,4.4,29,1028.7
232,천안,2021-02-02 13:00,-2.4,4.2,35,1028.1
232,천안,2021-02-02 14:00,-2.7,4.3,31,1027.6
232,천안,2021-02-02 15:00,-2.3,3.3,40,1027.4
232,천안,2021-02-02 16:00,-2.5,3.1,42,1027.5
232,천안,2021-02-02 17:00,-3.3,2.6,50,1027.3
232,천안,2021-02-02 18:00,-4.1,1.9,56,1027.3
232,천안,2021-02-02 19:00,-4.7,0.7,60,1027.2
232,천안,2021-02-02 20:00,-5.8,0.4,67,1027.1
232,천안,2021-02-02 21:00,-5.8,0,75,1027
232,천안,2021-02-02 22:00,-5,1,72,1027.5
232,천안,2021-02-02 23:00,-5,0.5,88,1027.7
232,천안,2021-02-03 0:00,-4.8,1.3,92,1028
232,천안,2021-02-03 1:00,-5.5,1.6,76,1029.3
232,천안,2021-02-03 2:00,-6.8,1,79,1030
232,천안,2021-02-03 3:00,-8.1,0.7,82,1030.4
232,천안,2021-02-03 4:00,-9.6,0.2,89,1030.6
232,천안,2021-02-03 5:00,-10.3,0.5,90,1030.1
232,천안,2021-02-03 6:00,-11.1,0.1,94,1030
232,천안,2021-02-03 7:00,-11.3,0.6,92,1030.4
232,천안,2021-02-03 8:00,-11.3,0,92,1030.8
232,천안,2021-02-03 9:00,-9.1,0.5,85,1030.6
232,천안,2021-02-03 10:00,-5.8,1.1,71,1029.8
232,천안,2021-02-03 11:00,-3.8,1.2,47,1029.5
232,천안,2021-02-03 12:00,-2,1.8,49,1028.6
232,천안,2021-02-03 13:00,0.1,1.4,43,1027.1
232,천안,2021-02-03 14:00,1.1,2.5,42,1026.4
232,천안,2021-02-03 15:00,2,2,38,1025.6
232,천안,2021-02-03 16:00,2.9,0.9,34,1025.1
232,천안,2021-02-03 17:00,2.4,1.5,42,1025.1
232,천안,2021-02-03 18:00,1.2,0.9,47,1024.9
232,천안,2021-02-03 19:00,0.8,0.6,52,1025.2
232,천안,2021-02-03 20:00,0.7,1.4,48,1024
232,천안,2021-02-03 21:00,0.9,1.4,47,1023.3
232,천안,2021-02-03 22:00,0.6,0.4,52,1022.8
232,천안,2021-02-03 23:00,0.3,3,69,1022.9
232,천안,2021-02-04 0:00,-0.9,1.3,98,1023.3
232,천안,2021-02-04 1:00,-0.9,0.6,99,1022.8
232,천안,2021-02-04 2:00,0.5,1.5,100,1023.3
232,천안,2021-02-04 3:00,1.3,2.5,89,1024.4
232,천안,2021-02-04 4:00,-0.4,2.7,59,1025.8
232,천안,2021-02-04 5:00,-2.4,2,48,1027.1
232,천안,2021-02-04 6:00,-3.6,2.2,43,1028
232,천안,2021-02-04 7:00,-4.5,2.1,50,1029
232,천안,2021-02-04 8:00,-5,1.2,44,1029.7
232,천안,2021-02-04 9:00,-3.8,0.9,46,1030.4
232,천안,2021-02-04 10:00,-3.3,2.6,42,1030.8
232,천안,2021-02-04 11:00,-2.4,3.2,30,1030.8
232,천안,2021-02-04 12:00,-1.6,2.6,29,1030.6
232,천안,2021-02-04 13:00,-0.2,2.5,33,1029.5
232,천안,2021-02-04 14:00,0.1,2.9,35,1029.1
232,천안,2021-02-04 15:00,0.7,3,34,1029.3
232,천안,2021-02-04 16:00,0.7,1.7,31,1029.4
232,천안,2021-02-04 17:00,0.3,1.5,29,1028.3
232,천안,2021-02-04 18:00,-0.7,0.7,35,1027.6
232,천안,2021-02-04 19:00,-2.1,1.1,48,1028.7
232,천안,2021-02-04 20:00,-3.8,0.1,63,1028.4
232,천안,2021-02-04 21:00,-4,0,63,1028.6
232,천안,2021-02-04 22:00,-5,0.5,70,1028.5
232,천안,2021-02-04 23:00,-6.1,0.4,79,1027.8
232,천안,2021-02-05 0:00,-7,0,83,1028.3
232,천안,2021-02-05 1:00,-7.6,0.2,86,1028.4
232,천안,2021-02-05 2:00,-7.8,0.2,86,1028.2
232,천안,2021-02-05 3:00,-7.4,0.3,85,1028.2
232,천안,2021-02-05 4:00,-6.8,1,82,1027.6
232,천안,2021-02-05 5:00,-7.8,0.2,90,1027.2
232,천안,2021-02-05 6:00,-7.9,0.3,91,1026.5
232,천안,2021-02-05 7:00,-8.4,0.2,92,1026.2
232,천안,2021-02-05 8:00,-7.9,0.3,94,1025.9
232,천안,2021-02-05 9:00,-5.4,0.6,82,1025.4
232,천안,2021-02-05 10:00,-2.5,0.5,73,1024.8
232,천안,2021-02-05 11:00,0.3,0.8,61,1024.7
232,천안,2021-02-05 12:00,2.2,1.5,60,1024
232,천안,2021-02-05 13:00,4.1,1.5,56,1022.6
232,천안,2021-02-05 14:00,5.4,1.4,54,1021.5
232,천안,2021-02-05 15:00,6.5,1.4,51,1020.6
232,천안,2021-02-05 16:00,7.2,2.3,46,1019.7
232,천안,2021-02-05 17:00,6.5,1.5,49,1019.2
232,천안,2021-02-05 18:00,5.5,0.9,51,1019.2
232,천안,2021-02-05 19:00,4.1,0.2,56,1019.5
232,천안,2021-02-05 20:00,2.2,0.2,60,1019.5
232,천안,2021-02-05 21:00,-0.2,0,78,1019.5
232,천안,2021-02-05 22:00,-0.9,0,80,1019.5
232,천안,2021-02-05 23:00,-2.5,0,87,1019.5
232,천안,2021-02-06 0:00,-2.8,0.3,90,1019.3
232,천안,2021-02-06 1:00,-3.3,0.1,91,1019.2
232,천안,2021-02-06 2:00,-3.5,0,92,1019
232,천안,2021-02-06 3:00,-3.9,0.3,92,1019
232,천안,2021-02-06 4:00,-4.3,0.1,93,1018.3
232,천안,2021-02-06 5:00,-4,0,91,1018.2
232,천안,2021-02-06 6:00,-2.9,0.2,88,1017.7
232,천안,2021-02-06 7:00,-2,0.2,89,1017.8
232,천안,2021-02-06 8:00,-1.2,0.4,88,1017.8
232,천안,2021-02-06 9:00,-0.2,0.4,85,1017.9
232,천안,2021-02-06 10:00,2.1,0.1,78,1017.9
232,천안,2021-02-06 11:00,5.6,0.6,66,1017.5
232,천안,2021-02-06 12:00,8.7,0.9,63,1017
232,천안,2021-02-06 13:00,11.2,1.9,61,1016
232,천안,2021-02-06 14:00,11.2,2.8,61,1015.4
232,천안,2021-02-06 15:00,11.2,3.3,62,1015.2
232,천안,2021-02-06 16:00,10.3,3.5,67,1015.8
232,천안,2021-02-06 17:00,9.4,2.8,72,1015.9
232,천안,2021-02-06 18:00,8.3,1.4,79,1016.2
232,천안,2021-02-06 19:00,6.8,0.5,88,1016
232,천안,2021-02-06 20:00,6.5,0,89,1016.2
232,천안,2021-02-06 21:00,5.2,0.3,92,1016.5
232,천안,2021-02-06 22:00,5,0.1,93,1016.9
232,천안,2021-02-06 23:00,4.8,0.6,92,1017.6
232,천안,2021-02-07 0:00,5.6,0,93,1017.7
232,천안,2021-02-07 1:00,6.2,1.1,94,1018.2
232,천안,2021-02-07 2:00,5,0.2,97,1018.6
232,천안,2021-02-07 3:00,4.5,0.1,96,1019.2
232,천안,2021-02-07 4:00,4.7,0.5,97,1019.2
232,천안,2021-02-07 5:00,4.3,0,96,1019.6
232,천안,2021-02-07 6:00,3.7,0.6,100,1019.7
232,천안,2021-02-07 7:00,3.3,0.1,100,1020.1
232,천안,2021-02-07 8:00,2.4,0.2,100,1021.2
232,천안,2021-02-07 9:00,2.7,0,100,1022.2
232,천안,2021-02-07 10:00,5,0.6,95,1022.2
232,천안,2021-02-07 11:00,6.7,1.5,77,1022.3
232,천안,2021-02-07 12:00,8.6,2.9,65,1022.5
232,천안,2021-02-07 13:00,8.3,2.6,65,1021.8
232,천안,2021-02-07 14:00,7.6,2.8,68,1021.6
232,천안,2021-02-07 15:00,7.4,3.9,60,1021.8
232,천안,2021-02-07 16:00,7.1,3.2,44,1022.3
232,천안,2021-02-07 17:00,6.2,2.2,38,1022.6
232,천안,2021-02-07 18:00,4.4,2.2,49,1023.3
232,천안,2021-02-07 19:00,3.3,2.1,45,1024.3
232,천안,2021-02-07 20:00,2.1,1.9,46,1024.3
232,천안,2021-02-07 21:00,1.9,1.8,49,1024.4
232,천안,2021-02-07 22:00,0.7,2.2,55,1024.9
232,천안,2021-02-07 23:00,-0.7,3.2,59,1025.5
232,천안,2021-02-08 0:00,-1.5,2,62,1025.9
232,천안,2021-02-08 1:00,-2,1.6,57,1026.5
232,천안,2021-02-08 2:00,-2.5,1.1,58,1026.5
232,천안,2021-02-08 3:00,-2.7,1.1,60,1026.8
232,천안,2021-02-08 4:00,-2.9,1.6,59,1026.4
232,천안,2021-02-08 5:00,-3.2,1.1,60,1026.7
232,천안,2021-02-08 6:00,-3.5,1.2,62,1026.9
232,천안,2021-02-08 7:00,-3.7,1.2,63,1027.5
232,천안,2021-02-08 8:00,-3.4,1.4,60,1028.6
232,천안,2021-02-08 9:00,-2.5,1.8,51,1029.5
232,천안,2021-02-08 10:00,-2,3.5,41,1029.9
232,천안,2021-02-08 11:00,-0.9,3.9,34,1030.4
232,천안,2021-02-08 12:00,-0.4,3.9,29,1030.2
232,천안,2021-02-08 13:00,0.1,3.2,31,1029.8
232,천안,2021-02-08 14:00,0,4.5,31,1029.7
232,천안,2021-02-08 15:00,-0.1,3.3,30,1029.7
232,천안,2021-02-08 16:00,-0.3,3.8,35,1029.6
232,천안,2021-02-08 17:00,-0.7,3.2,38,1029.8
232,천안,2021-02-08 18:00,-1.7,1.7,41,1030.1
232,천안,2021-02-08 19:00,-2,1.7,45,1030.3
232,천안,2021-02-08 20:00,-2.3,1.5,46,1030.3
232,천안,2021-02-08 21:00,-2.5,1.7,49,1030.3
232,천안,2021-02-08 22:00,-2.5,1.8,50,1030.8
